group,rank,team,played,wins,draws,losses,goals_for,goals_against,goal_difference,points,qualification_type,seed
A,1,Mexico,3,1,2,0,4,3,1,5,top_two,1
A,2,South Africa,3,1,1,1,4,4,0,4,top_two,2
A,3,South Korea,3,1,1,1,4,4,0,4,best_third,3
B,1,Switzerland,3,3,0,0,6,3,3,9,top_two,4
B,2,Qatar,3,2,0,1,5,4,1,6,top_two,5
B,3,Canada,3,1,0,2,4,5,-1,3,best_third,6
C,1,Brazil,3,3,0,0,6,3,3,9,top_two,7
C,2,Morocco,3,2,0,1,5,4,1,6,top_two,8
C,3,Haiti,3,1,0,2,4,5,-1,3,best_third,9
D,1,Australia,3,1,2,0,4,3,1,5,top_two,10
D,2,United States,3,0,3,0,3,3,0,3,top_two,11
D,3,Paraguay,3,0,3,0,3,3,0,3,best_third,12
E,1,Germany,3,3,0,0,6,3,3,9,top_two,13
E,2,Ivory Coast,3,2,0,1,5,4,1,6,top_two,14
F,1,Netherlands,3,1,2,0,4,3,1,5,top_two,15
F,2,Sweden,3,0,3,0,3,3,0,3,top_two,16
F,3,Tunisia,3,0,3,0,3,3,0,3,best_third,17
G,1,Belgium,3,3,0,0,6,3,3,9,top_two,18
G,2,New Zealand,3,2,0,1,5,4,1,6,top_two,19
G,3,Egypt,3,1,0,2,4,5,-1,3,best_third,20
H,1,Spain,3,3,0,0,6,3,3,9,top_two,21
H,2,Uruguay,3,1,1,1,4,4,0,4,top_two,22
I,1,France,3,2,0,1,5,4,1,6,top_two,23
I,2,Iraq,3,2,0,1,5,4,1,6,top_two,24
I,3,Senegal,3,1,0,2,4,5,-1,3,best_third,25
J,1,Argentina,3,3,0,0,6,3,3,9,top_two,26
J,2,Jordan,3,2,0,1,5,4,1,6,top_two,27
J,3,Algeria,3,1,0,2,4,5,-1,3,best_third,28
K,1,Portugal,3,3,0,0,6,3,3,9,top_two,29
K,2,DR Congo,3,1,0,2,4,5,-1,3,top_two,30
L,1,England,3,3,0,0,6,3,3,9,top_two,31
L,2,Croatia,3,1,1,1,4,4,0,4,top_two,32
